label,message,length,label_encoded,clean_message,length_bin
ham,After completed degree. There is no use in joining finance.,59,0,after completed degree there is no use in joining finance,pendek
ham,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?",155,0,good afternoon my love any job prospects are you missing me what do you do are you being lazy and bleak hmmm or happy and filled with my love,panjang
ham,Shant disturb u anymore... Jia you...,37,0,shant disturb u anymore jia you,sangat pendek
ham,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...,79,0,bishan lar nearer no need buy so early cos if buy now i gotta park my car,pendek
ham,"Me, i dont know again oh",24,0,me i dont know again oh,sangat pendek
ham,Dude sux for snake. He got old and raiden got buff,50,0,dude sux for snake he got old and raiden got buff,sangat pendek
ham,He says hi and to get your ass back to south tampa (preferably at a kegger),75,0,he says hi and to get your ass back to south tampa preferably at a kegger,pendek
ham,In e msg jus now. U said thanks for gift.,41,0,in e msg jus now u said thanks for gift,sangat pendek
ham,U too...,8,0,u too,sangat pendek
ham,Ok how you dear. Did you call chechi,36,0,ok how you dear did you call chechi,sangat pendek
ham,Yeah we do totes. When u wanna?,31,0,yeah we do totes when u wanna,sangat pendek
ham,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.,73,0,ok i found dis pierre cardin one which looks normal costs its on sale,pendek
ham,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-),127,0,good sleep is about rhythm the person has to establish a rhythm that the body will learn and use if you want to know more,sedang
ham,Wat r u doing?,14,0,wat r u doing,sangat pendek
ham,Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side,97,0,message from i am at truro hospital on ext you can phone me here as i have a phone by my side,pendek
ham,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but",73,0,single line with a big meaning miss anything ur best life but,pendek
ham,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?",92,0,just got some gas money any chance you and the gang want to go on a grand nature adventure,pendek
ham,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.,63,0,dnt worryuse ice pieces in a cloth packalso take tablets,pendek
ham,Dude just saw a parked car with its sunroof popped up. Sux,58,0,dude just saw a parked car with its sunroof popped up sux,pendek
ham,Get ready to put on your excellent sub face :),46,0,get ready to put on your excellent sub face,sangat pendek
ham,Tmrw. Im finishing 9 doors,26,0,tmrw im finishing doors,sangat pendek
ham,"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him.",143,0,the ltgt g that i saw a few days ago the guy wants sell wifi only for ltgt and with g for ltgt thats why i blanked him,sedang
ham,I am late. I will be there at,29,0,i am late i will be there at,sangat pendek
ham,"whatever, im pretty pissed off.",31,0,whatever im pretty pissed off,sangat pendek
ham,I dont have that much image in class.,37,0,i dont have that much image in class,sangat pendek
ham,No:-)i got rumour that you going to buy apartment in chennai:-),63,0,noi got rumour that you going to buy apartment in chennai,pendek
ham,Near kalainar tv office.thenampet,33,0,near kalainar tv officethenampet,sangat pendek
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL,145,1,ur cashbalance is currently pounds to maximize ur cashin now send go to only pmsg cc hgsuitelands rowwjhl,sedang
spam,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL,149,1,sms auction a brand new nokia is up auction today auction is free join take part txt nokia to now hgsuitelands rowwjhl,sedang
ham,My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.,104,0,my sis is catching e show in e afternoon so im not watching w her so c u wan watch today or tmr lor,sedang
ham,"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao...",58,0,sounds gd haha can wah u yan jiu so fast liao,pendek
ham,No. To be nosy I guess. Idk am I over reacting if I'm freaked?,62,0,no to be nosy i guess idk am i over reacting if im freaked,pendek
ham,"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same.",184,0,remember all those whom i hurt during days of satanic imposter in meneed to pay a priceso be itmay destiny keep me going and as u said pray that i get the mind to get over the same,panjang
ham,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..,611,0,how to make a girl happy its not at all difficult to make girls happy u only need to be a friend companion lover chef ltgt good listener ltgt organizer ltgt good boyfriend ltgt very clean ltgt sympathetic ltgt athletic ltgt warm ltgt courageous ltgt determined ltgt true ltgt dependable ltgt intelligent ltgt psychologist ltgt pest exterminator ltgt psychiatrist ltgt healer ltgt stylist ltgt driver aaniye pudunga venaam,sangat panjang
ham,"Why is that, princess? I bet the brothas are all chasing you!",61,0,why is that princess i bet the brothas are all chasing you,pendek
ham,"I shall book chez jules for half eight, if that's ok with you?",62,0,i shall book chez jules for half eight if thats ok with you,pendek
ham,Hhahhaahahah rofl wtf nig was leonardo in your room or something,64,0,hhahhaahahah rofl wtf nig was leonardo in your room or something,pendek
ham,"Yep, at derek's house now, see you Sunday &lt;3",47,0,yep at dereks house now see you sunday lt,sangat pendek
ham,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day",92,0,its cool let me know before it kicks off around ltgt ill be out and about all day,pendek
ham,I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.,338,0,i was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here that ltgt dollars is years sent and that you know its a strain but i plan to pay back every dime he gives every dime so for me to expect anything from you is not practical something like that,sangat panjang
ham,There are no other charges after transfer charges and you can withdraw anyhow you like,86,0,there are no other charges after transfer charges and you can withdraw anyhow you like,pendek
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL",159,0,dont search love let love find u thats why its called falling in love bcoz u dont force yourself u just fall and u know there is smeone to hold u bslvyl,panjang
ham,At 4. Let's go to bill millers,30,0,at lets go to bill millers,sangat pendek
ham,I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo,105,0,i love you you set my soul on fire it is not just a spark but it is a flame a big rawring flame xoxo,sedang
ham,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)",148,0,somewhr someone is surely made u and god has decided a perfect time to make u meet dat person till den enjoy ur crushes,sedang
ham,That's my honeymoon outfit. :),30,0,thats my honeymoon outfit,sangat pendek
ham,Will it help if we propose going back again tomorrow,52,0,will it help if we propose going back again tomorrow,pendek
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04,136,1,private your account statement for shows unredeemed s i m points call identifier code expires,sedang
ham,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:,152,0,never blame a day in ur life good days give u happiness bad days give u experience both are essential in life all are gods blessings good morning,panjang
ham,Pls confirm the time to collect the cheque.,43,0,pls confirm the time to collect the cheque,sangat pendek
spam,As a Registered Subscriber yr draw 4 a å£100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062,146,1,as a registered subscriber yr draw a å£ gift voucher will b entered on receipt of a correct ans when are the next olympics txt ans to,sedang
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,144,1,urgent your mobile number has been awarded with a å£ prize guaranteed call from land line claim valid hrs only ppm,sedang
ham,Daddy will take good care of you :),35,0,daddy will take good care of you,sangat pendek
ham,"Yeah probably, I still gotta check out with leo",47,0,yeah probably i still gotta check out with leo,sangat pendek
ham,K.then any other special?,25,0,kthen any other special,sangat pendek
ham,Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass,127,0,carlos is taking his sweet time as usual so let me know when you and patty are donewant to smoke and ill tell him to haul ass,sedang
ham,Ok pa. Nothing problem:-),25,0,ok pa nothing problem,sangat pendek
ham,Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?! ,143,0,have you heard about that job im going to that wildlife talk again tonight if u wantcome its thatworzels and a wizzle or whatever it is,sedang
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",128,0,god picked up a flower and dippeditinadew lovingly touched itwhichturnedinto u and the he gifted tomeandsaidthis friend is u,sedang
ham,When you came to hostel.,24,0,when you came to hostel,sangat pendek
ham,Ok no prob... I'll come after lunch then...,43,0,ok no prob ill come after lunch then,sangat pendek
ham,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,99,0,jus telling u dat ill b leaving shanghai on st instead so well haf more time meet up cya,pendek
ham,Are your freezing ? Are you home yet ? Will you remember to kiss your mom in the morning? Do you love me ? Do you think of me ? Are you missing me yet ?,152,0,are your freezing are you home yet will you remember to kiss your mom in the morning do you love me do you think of me are you missing me yet,panjang
ham,You all ready for * big day tomorrow?,37,0,you all ready for big day tomorrow,sangat pendek
ham,I'll probably be around mu a lot,32,0,ill probably be around mu a lot,sangat pendek
ham,645,3,0,,sangat pendek
spam,RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!,153,1,rtking pro video club need help inforingtonekingcouk or call you must be club credits redeemable at wwwringtonekingcouk enjoy,panjang
ham,Thnx dude. u guys out 2nite?,28,0,thnx dude u guys out nite,sangat pendek
ham,Me sef dey laugh you. Meanwhile how's my darling anjie!,55,0,me sef dey laugh you meanwhile hows my darling anjie,pendek
ham,Mm i had my food da from out,28,0,mm i had my food da from out,sangat pendek
ham,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas",121,0,k makes sense btw carlos is being difficult so you guys are gonna smoke while i go pick up the second batch and get gas,sedang
ham,Did u download the fring app?,29,0,did u download the fring app,sangat pendek
ham,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible,115,0,the oz guy is being kinda flaky but one friend is interested in picking up ltgt worth tonight if possible,sedang
ham,Friends that u can stay on fb chat with,39,0,friends that u can stay on fb chat with,sangat pendek
ham,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...",154,0,fuck babe i miss you sooooo much i wish you were here to sleep with me my bed is so lonely i go now to sleep to dream of you my love,panjang
ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-",148,0,living is very simple loving is also simple laughing is too simple winning is tooo simple but being simple is very difficult gud nte,sedang
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,132,1,u have a secret admirer who is looking make contact with ufind out who they rreveal who thinks ur so specialcall on,sedang
ham,"Ah, well that confuses things, doesnÛ÷t it?",44,0,ah well that confuses things doesnû÷t it,sangat pendek
spam,500 free text msgs. Just text ok to 80488 and we'll credit your account,71,1,free text msgs just text ok to and well credit your account,pendek
ham,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,156,0,hi dear call me its urgnt i dont know whats your problem you dont want to work or if you have any other problem at least tell me wating for your reply,panjang
ham,Dear how you. Are you ok?,25,0,dear how you are you ok,sangat pendek
spam,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth å£350! To Claim, Call London 02072069400. Bx 526, SW73SS",147,1,you have been selected to stay in of top british hotels for nothing holiday worth å£ to claim call london bx swss,sedang
ham,Yes princess! I want to make you happy...,41,0,yes princess i want to make you happy,sangat pendek
ham,Sounds like you have many talents! would you like to go on a dinner date next week?,83,0,sounds like you have many talents would you like to go on a dinner date next week,pendek
ham,I am going to film 2day da. At 6pm. Sorry da.,45,0,i am going to film day da at pm sorry da,sangat pendek
ham,We not watching movie already. Xy wants 2 shop so i'm shopping w her now.,73,0,we not watching movie already xy wants shop so im shopping w her now,pendek
ham,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,158,0,hello my little party animal i just thought id buzz you as you were with your friends grins reminding you were loved and send a naughty adoring kiss,panjang
ham,Yesterday its with me only . Now am going home.,47,0,yesterday its with me only now am going home,sangat pendek
spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",161,1,eerie nokia tones u rply tone title to eg tone dracula to titles ghost addamsfa munsters exorcist twilight wwwgetzedcouk poboxwwq p,panjang
ham,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for",159,0,you have come into my life and brought the sun shiny down on me warming my heart putting a constant smile on my face making me feel loved and cared for,panjang
ham,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me",165,0,no shit but i wasnt that surprised so i went and spent the evening with that french guy i met in town here and we fooled around a bit but i didnt let him fuck me,panjang
spam,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their \suppliers\""",91,1,anetworks allow companies to bill for sms so they are responsible for their suppliers,pendek
ham,Great comedy..cant stop laughing da:),37,0,great comedycant stop laughing da,sangat pendek
spam,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242,160,1,freemsgfeelin kinda lnly hope u like keep me company jst got a cam moby wanna c my pictxt or reply date to msgp rcv hlp stop to,panjang
ham,"Alright, we're all set here, text the man",41,0,alright were all set here text the man,sangat pendek
ham,"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?",136,0,hi where are you were at and theyre not keen to go out i kind of am but feel i shouldnt so can we go out tomo dont mind do you,sedang
ham,Sleeping nt feeling well,24,0,sleeping nt feeling well,sangat pendek
ham,U WILL SWITCH YOUR FONE ON DAMMIT!!,35,0,u will switch your fone on dammit,sangat pendek
ham,India have to take lead:),25,0,india have to take lead,sangat pendek
ham,I.ll post her out l8r. In class,31,0,ill post her out lr in class,sangat pendek
ham,Thts wat Wright Brother did to fly..,36,0,thts wat wright brother did to fly,sangat pendek
ham,"Evening * v good if somewhat event laden. Will fill you in, don't you worry Û_ Head * ok but throat * wrecked. See you at six then!",132,0,evening v good if somewhat event laden will fill you in dont you worry û head ok but throat wrecked see you at six then,sedang
ham,If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:),156,0,if u laugh really loud if u talk spontaneously if u dont care what others feel u are probably with your dear amp best friends goodevening dear,panjang
ham,ITS A LAPTOP TAKE IT WITH YOU.,30,0,its a laptop take it with you,sangat pendek
ham,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,118,0,i dont have any of your file in my bagi was in work when you called mei ll tell you if i find anything in my room,sedang
ham,I wan but too early lei... Me outside now wun b home so early... Neva mind then...,82,0,i wan but too early lei me outside now wun b home so early neva mind then,pendek
spam,"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",123,1,for ur chance to win a å£ cash every wk txt action to tscs wwwmovietriviatv custcare xpwk,sedang
ham,I was at bugis juz now wat... But now i'm walking home oredi... ÌÏ so late then reply... I oso saw a top dat i like but din buy... Where r Ì_ now? ,147,0,i was at bugis juz now wat but now im walking home oredi ìï so late then reply i oso saw a top dat i like but din buy where r ì now,sedang
ham,At 7 we will go ok na.,22,0,at we will go ok na,sangat pendek
ham,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :),90,0,yes i posted a couple of pics on fb theres still snow outside too im just waking up,pendek
ham,S:-)if we have one good partnership going we will take lead:),61,0,sif we have one good partnership going we will take lead,pendek
spam,RGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50,148,1,rgent this is the nd attempt to contact uu have won å£ call b tcsbcmwcnxx callcost ppm mobilesvary maxå£,sedang
ham,"Yeah, where's your class at?",28,0,yeah wheres your class at,sangat pendek
ham,No just send to you. Bec you in temple na.,42,0,no just send to you bec you in temple na,sangat pendek
ham,"You aren't coming home between class, right? I need to work out and shower!",75,0,you arent coming home between class right i need to work out and shower,pendek
spam,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Callså£1/minMobsmoreLKPOBOX177HP51FL,160,1,hi if ur lookin saucy daytime fun wiv busty married woman am free all next week chat now sort time janinexx callså£minmobsmorelkpoboxhpfl,panjang
ham,S but mostly not like that.,27,0,s but mostly not like that,sangat pendek
ham,ÌÏ v ma fan...,14,0,ìï v ma fan,sangat pendek
ham,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...,129,0,dunno cos i was v late n when i reach they inside already but we ate spageddies lor its e gals who r laughing at me lor,sedang
ham,Guess who spent all last night phasing in and out of the fourth dimension,73,0,guess who spent all last night phasing in and out of the fourth dimension,pendek
ham,So now my dad is gonna call after he gets out of work and ask all these crazy questions.,88,0,so now my dad is gonna call after he gets out of work and ask all these crazy questions,pendek
ham,"Yes..but they said its IT.,",27,0,yesbut they said its it,sangat pendek
ham,Very hurting n meaningful lines ever: \I compromised everything for my love,75,0,very hurting n meaningful lines ever i compromised everything for my love,pendek
ham,Lmao!nice 1,11,0,lmaonice,sangat pendek
ham,Glad to see your reply.,23,0,glad to see your reply,sangat pendek
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only,158,1,urgent we are trying to contact u todays draw shows that you have won a å£ prize guaranteed call from land line claim a valid hrs only,panjang
spam,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,73,1,monthly password for wap mobsicom is use your wap phone not pc,pendek
ham,Nah dub but je still buff,25,0,nah dub but je still buff,sangat pendek
ham,Painful words- \I thought being Happy was the most toughest thing on Earth... But,81,0,painful words i thought being happy was the most toughest thing on earth but,pendek
ham,"Yeah, that's fine! It's å£6 to get in, is that ok? ",51,0,yeah thats fine its å£ to get in is that ok,pendek
ham,Lol where do u come up with these ideas?,40,0,lol where do u come up with these ideas,sangat pendek
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",156,0,so many people seems to be special at first sight but only very few will remain special to you till your last sight maintain them till life ends shjas,panjang
ham,Okay... We wait ah,18,0,okay we wait ah,sangat pendek
ham,Y lei?,6,0,y lei,sangat pendek
ham,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX,126,0,hi babe u r most likely to be in bed but im so sorry about tonight i really wanna see u tomorrow so call me at love me xxx,sedang
ham,Already am squatting is the new way of walking,46,0,already am squatting is the new way of walking,sangat pendek
ham,Do you want bold 2 or bb torch,30,0,do you want bold or bb torch,sangat pendek
ham,Cramps stopped. Going back to sleep,35,0,cramps stopped going back to sleep,sangat pendek
spam,todays vodafone numbers ending with 0089(my last four digits) are selected to received a å£350 award. If your number matches please call 09063442151 to claim your å£350 award,174,1,todays vodafone numbers ending with my last four digits are selected to received a å£ award if your number matches please call to claim your å£ award,panjang
spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,114,1,free top ringtone sub to weekly ringtoneget st week freesend subpoly to per weekstop sms,sedang
ham,Nan sonathaya soladha. Why boss?,32,0,nan sonathaya soladha why boss,sangat pendek
ham,Bring tat cd don forget,23,0,bring tat cd don forget,sangat pendek
ham,I don't know but I'm raping dudes at poker,42,0,i dont know but im raping dudes at poker,sangat pendek
ham,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.,99,0,weightloss no more girl friends make loads of money on ebay or something and give thanks to god,pendek
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,96,0,was gr to see that message so when r u leaving congrats dear what school and wat r ur plans,pendek
ham,ÌÏ eatin later but i'm eatin wif my frens now lei... ÌÏ going home first? ,74,0,ìï eatin later but im eatin wif my frens now lei ìï going home first,pendek
ham,Finish already... Yar they keep saying i mushy... I so embarrassed ok...,72,0,finish already yar they keep saying i mushy i so embarrassed ok,pendek
ham,"Sorry man, my stash ran dry last night and I can't pick up more until sunday",76,0,sorry man my stash ran dry last night and i cant pick up more until sunday,pendek
ham,Hai priya are you right. What doctor said pa. Where are you.,60,0,hai priya are you right what doctor said pa where are you,pendek
spam,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.",148,1,free msg sorry a service you ordered from could not be delivered as you do not have sufficient credit please top up to receive the service,sedang
ham,Please ask mummy to call father,31,0,please ask mummy to call father,sangat pendek
ham,Can come my room but cannot come my house cos my house still messy... Haha...,77,0,can come my room but cannot come my house cos my house still messy haha,pendek
ham,I have lost 10 kilos as of today!,33,0,i have lost kilos as of today,sangat pendek
ham,Just taste fish curry :-P,25,0,just taste fish curry p,sangat pendek
ham,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.,126,0,what can i do might accidant tookplace between somewhere ghodbandar rd traffic moves slovely so plz slip amp dont worry,sedang
ham,Yun ah.now Ì_ wkg where?btw if Ì_ go nus sc. ÌÏ wana specialise in wad?,71,0,yun ahnow ì wkg wherebtw if ì go nus sc ìï wana specialise in wad,pendek
ham,Yes! I am a one woman man! Please tell me your likes and dislikes in bed...,75,0,yes i am a one woman man please tell me your likes and dislikes in bed,pendek
ham,Was doing my test earlier. I appreciate you. Will call you tomorrow.,68,0,was doing my test earlier i appreciate you will call you tomorrow,pendek
ham,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?",144,0,hows my loverboy doing what does he do that keeps him from coming to his queen hmmm doesnt he ache to speak to me miss me desparately,sedang
ham,U meet other fren dun wan meet me ah... Muz b a guy rite...,59,0,u meet other fren dun wan meet me ah muz b a guy rite,pendek
ham,"(No promises on when though, haven't even gotten dinner yet)",60,0,no promises on when though havent even gotten dinner yet,pendek
ham,I got your back! Do you have any dislikes in bed?,49,0,i got your back do you have any dislikes in bed,sangat pendek
ham,o turns out i had stereo love on mi phone under the unknown album.,66,0,o turns out i had stereo love on mi phone under the unknown album,pendek
spam,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,145,1,hard live chat just pmin choose your girl and connect live call now cheap chat uks biggest live service vu bcmwcnxx,sedang
ham,Yeah I don't see why not,24,0,yeah i dont see why not,sangat pendek
ham,Asking do u knw them or nt? May be ur frnds or classmates?,58,0,asking do u knw them or nt may be ur frnds or classmates,pendek
ham,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!",107,0,sorry about earlier putting out firesare you around to talk after or do you actually have a life lol,sedang
spam,WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.,138,1,wow the boys r back take that uk tour win vip tickets prebook with vip club txt club to trackmarque ltd infovipclubu,sedang
ham,"As in missionary hook up, doggy hook up, standing...|",53,0,as in missionary hook up doggy hook up standing,pendek
ham,Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..,73,0,then u better go sleep dun disturb u liao u wake up then msg me lor,pendek
ham,Am watching house ÛÒ very entertaining ÛÒ am getting the whole hugh laurie thing ÛÒ even with the stick ÛÒ indeed especially with the stick.,144,0,am watching house ûò very entertaining ûò am getting the whole hugh laurie thing ûò even with the stick ûò indeed especially with the stick,sedang
ham,Thought praps you meant another one. Goodo! I'll look tomorrow ,63,0,thought praps you meant another one goodo ill look tomorrow,pendek
ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur åÔrents mayb interested in it, I hav 12,000pes, so around å£48, tb, James.",159,0,hi jon pete here ive bin spain recently hav sum dinero left bill said u or ur åôrents mayb interested in it i hav pes so around å£ tb james,panjang
ham,There bold 2  &lt;#&gt; . Is that yours,39,0,there bold ltgt is that yours,sangat pendek
ham,You know there is. I shall speak to you in  &lt;#&gt;  minutes then,67,0,you know there is i shall speak to you in ltgt minutes then,pendek
ham,"\ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.\""""",131,0,alrite hunnywot u up nite didnt end up goin down town jus da pub instead jus chillin at da mo in me bedroomlove jen xxx,sedang
ham,I went to project centre,24,0,i went to project centre,sangat pendek
ham,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,136,0,as per your request maangalyam alaipayuthe has been set as your callertune for all callers press to copy your friends callertune,sedang
ham,Lol yeah at this point I guess not,34,0,lol yeah at this point i guess not,sangat pendek
ham,Doing project w frens lor. ,27,0,doing project w frens lor,sangat pendek
ham,Lol. Well quality aint bad at all so i aint complaining,55,0,lol well quality aint bad at all so i aint complaining,pendek
ham,"K, can that happen tonight?",27,0,k can that happen tonight,sangat pendek
spam,"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive å£5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....",224,1,hi this is mandy sullivan calling from hotmix fmyou are chosen to receive å£ in our easter prize drawplease telephone to claim before or your prize will be transferred to someone else,sangat panjang
ham,"I think we're going to finn's now, come",39,0,i think were going to finns now come,sangat pendek
ham,Why tired what special there you had,36,0,why tired what special there you had,sangat pendek
ham,I will come tomorrow di,23,0,i will come tomorrow di,sangat pendek
ham,K go and sleep well. Take rest:-).,34,0,k go and sleep well take rest,sangat pendek
ham,U guys never invite me anywhere :(,34,0,u guys never invite me anywhere,sangat pendek
spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofå£2000 CASH 18+only. To opt out txt X to 07786200117,159,1,ur going bahamas callfreefone and speak to a live operator to claim either bahamas cruise ofå£ cash only to opt out txt x to,panjang
ham,I can do that! I want to please you both inside and outside the bedroom...,74,0,i can do that i want to please you both inside and outside the bedroom,pendek
